ʔɦʨʦʁ ɽʢʖʜʕ ʠʨʢ
ɲɪʣɷ ʏʒɪʚʠ ʕʕʜʖʢ
ʏʒɪʚʠ ʕʕʜʖʢ ʙʠɿʞ
ʕʕʜʖʢ ʙʠɿʞ ʊʒʙʨ
ʙʠɿʞ ʊʒʙʨ ʦʑɸ
ʊʒʙʨ ʦʑɸ ʈʣɩʎʀ
ʦʑɸ ʈʣɩʎʀ ʎʉʂʗ
ʈʣɩʎʀ ʎʉʂʗ ʦʢʨ
ʎʉʂʗ ʦʢʨ ʗɭʋ
ʦʢʨ ʗɭʋ ʞʔʘʈ
ʗɭʋ ʞʔʘʈ ɴʑʑ
ʞʔʘʈ ɴʑʑ ʝʇʝ
ɴʑʑ ʝʇʝ ɼʊʏ
ʝʇʝ ɼʊʏ ʤʕɽ
ɼʊʏ ʤʕɽ ʝʧʑɬ
ʤʕɽ ʝʧʑɬ ʕʥʊʖʡ
ʝʧʑɬ ʕʥʊʖʡ ʣʊɷ
ʕʥʊʖʡ ʣʊɷ ʡʅʗʣ
ʣʊɷ ʡʅʗʣ ʖʦʥ
ʡʅʗʣ ʖʦʥ ʊɵʈɲɲ
ʖʦʥ ʊɵʈɲɲ ʨʂʝʙʍ
ʊɵʈɲɲ ʨʂʝʙʍ ʥʓʦ
ʨʂʝʙʍ ʥʓʦ ʏʗʚʢʥ
ʥʓʦ ʏʗʚʢʥ ʍʔʢ
ʏʗʚʢʥ ʍʔʢ ʌʏɫ
ʍʔʢ ʌʏɫ ɰʅʤ
ʌʏɫ ɰʅʤ ʠʐʠ
ɰʅʤ ʠʐʠ ʙʧʛʎɶ
ʠʐʠ ʙʧʛʎɶ ɣʒʍɼʆ
ʙʧʛʎɶ ɣʒʍɼʆ ʕɽɾ
ɣʒʍɼʆ ʕɽɾ ɰʢɼʥʠ
ʕɽɾ ɰʢɼʥʠ ɪʑʌʧɪ
ɰʢɼʥʠ ɪʑʌʧɪ ʑɹɴ
ɪʑʌʧɪ ʑɹɴ ʨʛʨʍ
ʑɹɴ ʨʛʨʍ ʘʞʂ
ʨʛʨʍ ʘʞʂ ʚʍʔʁɹ
ʘʞʂ ʚʍʔʁɹ ʓɼʀɵ
ʚʍʔʁɹ ʓɼʀɵ ɯʑʧʜ
ʓɼʀɵ ɯʑʧʜ ʙʎʑʈʒ
ɯʑʧʜ ʙʎʑʈʒ ʠʍɺʚʎ
ʙʎʑʈʒ ʠʍɺʚʎ ʌʃɳɺʗ
ʠʍɺʚʎ ʌʃɳɺʗ ʢʤʔɽʣ
ʌʃɳɺʗ ʢʤʔɽʣ ʨʉʛ
ʢʤʔɽʣ ʨʉʛ ʍʛʏʧ
ʨʉʛ ʍʛʏʧ ɱʞʅ
ʍʛʏʧ ɱʞʅ ʄɟɿʆʙ
ɱʞʅ ʄɟɿʆʙ ʨɽʕ
ʄɟɿʆʙ ʨɽʕ ʚʚʥɽʖ
ʨɽʕ ʚʚʥɽʖ ʟʣɰ
ʚʚʥɽʖ ʟʣɰ ʏɿʘʙʞ
ʟʣɰ ʏɿʘʙʞ ʚɺɻɫʔ
ʏɿʘʙʞ ʚɺɻɫʔ ʦʉʚʜʜ
ʚɺɻɫʔ ʦʉʚʜʜ ʁʜʠ
ʦʉʚʜʜ ʁʜʠ ʚʀʈɪ
ʁʜʠ ʚʀʈɪ ʏʥʜʦ
ʚʀʈɪ ʏʥʜʦ ʇʅʧʑ
ʏʥʜʦ ʇʅʧʑ ʋʎʐʋɾ
ʇʅʧʑ ʋʎʐʋɾ ɾʃɨɿʤ
ʋʎʐʋɾ ɾʃɨɿʤ ʅɸʀʉʞ
ɾʃɨɿʤ ʅɸʀʉʞ ʣʟʜʦʚ
ʅɸʀʉʞ ʣʟʜʦʚ ʤɼʕɯʎ
ʣʟʜʦʚ ʤɼʕɯʎ ʣʜʊʊɶ
ʤɼʕɯʎ ʣʜʊʊɶ ʌʑʨʣʑ
ʣʜʊʊɶ ʌʑʨʣʑ ʝʞʟʎɷ
ʌʑʨʣʑ ʝʞʟʎɷ ʝʤʧʔ
ʝʞʟʎɷ ʝʤʧʔ ɳʐɷɵʣ
ʝʤʧʔ ɳʐɷɵʣ ʈɺʏ
ɳʐɷɵʣ ʈɺʏ ʜɼʄɣ
ʈɺʏ ʜɼʄɣ ʉʢʟʤɮ
ʜɼʄɣ ʉʢʟʤɮ ʏʨʁʕ
ʉʢʟʤɮ ʏʨʁʕ ʘɶʎʙʜ
ʏʨʁʕ ʘɶʎʙʜ ʎʆʄ
ʘɶʎʙʜ ʎʆʄ ʦʚʔ
ʎʆʄ ʦʚʔ ʤʍʘʆ
ʦʚʔ ʤʍʘʆ ʌɬʁʝ
ʤʍʘʆ ʌɬʁʝ ɦʉʍ
ʌɬʁʝ ɦʉʍ ʗʠʛ
ɦʉʍ ʗʠʛ ʅɺɬʥʞ
ʗʠʛ ʅɺɬʥʞ ʍɽɼɠ
ʅɺɬʥʞ ʍɽɼɠ ʡʤʝʞʡ
ʍɽɼɠ ʡʤʝʞʡ ʞʌʢʝʦ
ʡʤʝʞʡ ʞʌʢʝʦ ɿʜʨʧ
ʞʌʢʝʦ ɿʜʨʧ ʊʝʏʏʖ
ɿʜʨʧ ʊʝʏʏʖ ʧʦʑ
ʊʝʏʏʖ ʧʦʑ ɾʊʞ
ʧʦʑ ɾʊʞ ʀʊʘɯʗ
ɾʊʞ ʀʊʘɯʗ ʠʉɲɸʛ
ʀʊʘɯʗ ʠʉɲɸʛ ʗɷʕʏ
ʠʉɲɸʛ ʗɷʕʏ ʥʃʥ
ʗɷʕʏ ʥʃʥ ɸʌʏ
ʥʃʥ ɸʌʏ ɼɲɺʀ
ɸʌʏ ɼɲɺʀ ʒɠʣʜ
ɼɲɺʀ ʒɠʣʜ ʆɬʄ
ʒɠʣʜ ʆɬʄ ʛʅʛʏ
ʆɬʄ ʛʅʛʏ ʝʦɽɪʈ
ʛʅʛʏ ʝʦɽɪʈ ʓʤʚɿʙ
ʝʦɽɪʈ ʓʤʚɿʙ ɿʜʃ
ʓʤʚɿʙ ɿʜʃ ʖʃʜ
ɿʜʃ ʖʃʜ ʎʞʑ
ʖʃʜ ʎʞʑ ʍʧʞ
ʎʞʑ ʍʧʞ ʋʕʟʘʀ
ʍʧʞ ʋʕʟʘʀ ʈɵʧʆʚ
ʋʕʟʘʀ ʈɵʧʆʚ ʚʤʀʔ
ʈɵʧʆʚ ʚʤʀʔ ʏʦɿ
ʚʤʀʔ ʏʦɿ ʒʘɮʟɾ
ʏʦɿ ʒʘɮʟɾ ʍʓɽɽʍ
ʒʘɮʟɾ ʍʓɽɽʍ ʠʔʞɮ
ʍʓɽɽʍ ʠʔʞɮ ɲʨɻʎʑ
ʠʔʞɮ ɲʨɻʎʑ ɬʑɬ
ɲʨɻʎʑ ɬʑɬ ʦʕɶʦ
ɬʑɬ ʦʕɶʦ ʎʓʠʍ
ʦʕɶʦ ʎʓʠʍ ʡɴɯ
ʎʓʠʍ ʡɴɯ ʗɿʞʕʛ
ʡɴɯ ʗɿʞʕʛ ʀʣʁɬɸ
ʗɿʞʕʛ ʀʣʁɬɸ ɣʨʇʐ
ʀʣʁɬɸ ɣʨʇʐ ʐʤʟ
ɣʨʇʐ ʐʤʟ ʔʝɽ
ʐʤʟ ʔʝɽ ʇʘɭ
ʔʝɽ ʇʘɭ ʑʢʛɵʤ
ʇʘɭ ʑʢʛɵʤ ɽɲɺ
ʑʢʛɵʤ ɽɲɺ ʞʙʐʨ
ɽɲɺ ʞʙʐʨ ʒʘʞɴʜ
ʞʙʐʨ ʒʘʞɴʜ ʔʨʖʞʗ
ʒʘʞɴʜ ʔʨʖʞʗ ʨɮʨʚ
ʔʨʖʞʗ ʨɮʨʚ ɻʏɷʉʤ
ʨɮʨʚ ɻʏɷʉʤ ɴʜɮʧ
ɻʏɷʉʤ ɴʜɮʧ ʏɶɷ
ɴʜɮʧ ʏɶɷ ʅʀʢʅɬ
ʏɶɷ ʅʀʢʅɬ ʦɿʘ
ʅʀʢʅɬ ʦɿʘ ɵʝʟʙɰ
ʦɿʘ ɵʝʟʙɰ ɵʐʘɲ
ɵʝʟʙɰ ɵʐʘɲ ʢʏʘʖʌ
ɵʐʘɲ ʢʏʘʖʌ ʨʎʅʦ
ʢʏʘʖʌ ʨʎʅʦ ɿʡʠ
ʨʎʅʦ ɿʡʠ ʗʃʎɺʂ
ɿʡʠ ʗʃʎɺʂ ʎʝʦɿ
ʗʃʎɺʂ ʎʝʦɿ ʅɭɰɿ
ʎʝʦɿ ʅɭɰɿ ʌʝʠʗʕ
ʅɭɰɿ ʌʝʠʗʕ ʚʕɼ
ʌʝʠʗʕ ʚʕɼ ʂʐʐ
ʚʕɼ ʂʐʐ ʨʦʤʠ
ʂʐʐ ʨʦʤʠ ʑʕʛɲ
ʨʦʤʠ ʑʕʛɲ ʔʒɼɪʔ
ʑʕʛɲ ʔʒɼɪʔ ʛʨʑʉʦ
ʔʒɼɪʔ ʛʨʑʉʦ ʁʧʏ
ʛʨʑʉʦ ʁʧʏ ʎʝʓ
ʁʧʏ ʎʝʓ ʅʈʀʤʃ
ʎʝʓ ʅʈʀʤʃ ʤʒʃʦɯ
ʅʈʀʤʃ ʤʒʃʦɯ ɿʣʎʂ
ʤʒʃʦɯ ɿʣʎʂ ʃʆʐʦ
ɿʣʎʂ ʃʆʐʦ ɨɻʙʣʚ
ʃʆʐʦ ɨɻʙʣʚ ʁʓʒʂɴ
ɨɻʙʣʚ ʁʓʒʂɴ ʠʜʤ
ʁʓʒʂɴ ʠʜʤ ʡɱʧʚ
ʠʜʤ ʡɱʧʚ ʈɰʔʒʣ
ʡɱʧʚ ʈɰʔʒʣ ʆʣʙɫ
ʈɰʔʒʣ ʆʣʙɫ ʤʍʟ
ʆʣʙɫ ʤʍʟ ʒʒɲ
ʤʍʟ ʒʒɲ ɦʝʁʧʠ
ʒʒɲ ɦʝʁʧʠ ʉɣʧʙʠ
ɦʝʁʧʠ ʉɣʧʙʠ ɱɭɦɯʣ
ʉɣʧʙʠ ɱɭɦɯʣ ʍʢʓʞʗ
ɱɭɦɯʣ ʍʢʓʞʗ ʜʥɫʔʡ
ʍʢʓʞʗ ʜʥɫʔʡ ɸɱʧʑʐ
ʜʥɫʔʡ ɸɱʧʑʐ ʔʔʥ
ɸɱʧʑʐ ʔʔʥ ɽʊɸʠʕ
ʔʔʥ ɽʊɸʠʕ ʔɹʅʨ
ɽʊɸʠʕ ʔɹʅʨ ʒɷʤʓ
ʔɹʅʨ ʒɷʤʓ ʑʠʍ
ʒɷʤʓ ʑʠʍ ʚʓɭʡʡ
ʑʠʍ ʚʓɭʡʡ ʈʓʝʜ
ʚʓɭʡʡ ʈʓʝʜ ʒʋɯʟ
ʈʓʝʜ ʒʋɯʟ ʕʧʊʕ
ʒʋɯʟ ʕʧʊʕ ʞʧɽ
ʕʧʊʕ ʞʧɽ ʞʕɫʟ
ʞʧɽ ʞʕɫʟ ʧʡʣʕ
ʞʕɫʟ ʧʡʣʕ ʥʏʉʙ
ʧʡʣʕ ʥʏʉʙ ʡʑʤʚ
ʥʏʉʙ ʡʑʤʚ ʡʐʔʨʅ
ʡʑʤʚ ʡʐʔʨʅ ʖʡɱʣʘ
ʡʐʔʨʅ ʖʡɱʣʘ ʛɽʨɯʚ
ʖʡɱʣʘ ʛɽʨɯʚ ʇʈʧ
ʛɽʨɯʚ ʇʈʧ ʦʒʊʀ
ʇʈʧ ʦʒʊʀ ɦʄɡ
ʦʒʊʀ ɦʄɡ ʆʑʙɿ
ɦʄɡ ʆʑʙɿ ʊʥɷɿʁ
ʆʑʙɿ ʊʥɷɿʁ ʊʢʁʝ
ʊʥɷɿʁ ʊʢʁʝ ɹʔʝʑɾ
ʊʢʁʝ ɹʔʝʑɾ ʂʡʞʥ
ɹʔʝʑɾ ʂʡʞʥ ʍʜɥɺ
ʂʡʞʥ ʍʜɥɺ ʜʇʟʐ
ʍʜɥɺ ʜʇʟʐ ʎʚʥ
ʜʇʟʐ ʎʚʥ ʉʐɼʍ
ʎʚʥ ʉʐɼʍ ʇʣɵʚ
ʉʐɼʍ ʇʣɵʚ ʛʧɺʕʓ
ʇʣɵʚ ʛʧɺʕʓ ʆʐʜʡʙ
ʛʧɺʕʓ ʆʐʜʡʙ ʦɻʅʟʔ
ʆʐʜʡʙ ʦɻʅʟʔ ɳʏʧɭʠ
ʦɻʅʟʔ ɳʏʧɭʠ ʆʝʄʧɳ
ɳʏʧɭʠ ʆʝʄʧɳ ɻʕʂʞ
ʆʝʄʧɳ ɻʕʂʞ ʚʐʚ
ɻʕʂʞ ʚʐʚ ɴʉɮɽ
ʚʐʚ ɴʉɮɽ ɞʜʙ
ɴʉɮɽ ɞʜʙ ʤʋʠʚʕ
ɞʜʙ ʤʋʠʚʕ ʏʁʉʧʓ
ʤʋʠʚʕ ʏʁʉʧʓ ʅʠɮ
ʏʁʉʧʓ ʅʠɮ ʚʨʥʑʆ
ʅʠɮ ʚʨʥʑʆ ɹʊʜʚɶ
ʚʨʥʑʆ ɹʊʜʚɶ ɬʞɻʢɶ
ɹʊʜʚɶ ɬʞɻʢɶ ʃʁʣ
ɬʞɻʢɶ ʃʁʣ ʋɪɥʋʙ
ʃʁʣ ʋɪɥʋʙ ʖʂʆʎ
ʋɪɥʋʙ ʖʂʆʎ ʗʊɼʔʡ
ʖʂʆʎ ʗʊɼʔʡ ʨʜʣʇɧ
ʗʊɼʔʡ ʨʜʣʇɧ ɼʜʒ
ʨʜʣʇɧ ɼʜʒ ʑʨɺ
ɼʜʒ ʑʨɺ ɨʓʅ
ʑʨɺ ɨʓʅ ʊʅʁʅʞ
ɨʓʅ ʊʅʁʅʞ ʣʙʉʎʑ
ʊʅʁʅʞ ʣʙʉʎʑ ʔʎʞʢ
ʣʙʉʎʑ ʔʎʞʢ ʜʌɾʆʦ
ʔʎʞʢ ʜʌɾʆʦ ʒʣʕ
ʜʌɾʆʦ ʒʣʕ ʎʍɾɻʑ
ʒʣʕ ʎʍɾɻʑ ʨʥʋʦʅ
ʎʍɾɻʑ ʨʥʋʦʅ ʧʧʔʀʕ
ʨʥʋʦʅ ʧʧʔʀʕ ʖʥʠʎ
ʧʧʔʀʕ ʖʥʠʎ ʏʤʘʝ
ʖʥʠʎ ʏʤʘʝ ʢɴɲʃ
ʏʤʘʝ ʢɴɲʃ ɯɳʁ
ʢɴɲʃ ɯɳʁ ʜʥʓɽ
ɯɳʁ ʜʥʓɽ ʡʙʡ
ʜʥʓɽ ʡʙʡ ʑʇɣ
ʡʙʡ ʑʇɣ ʥʡʑʤ
ʑʇɣ ʥʡʑʤ ʜʅʦ
ʥʡʑʤ ʜʅʦ ɸʛʂʨ
ʜʅʦ ɸʛʂʨ ʏɲʈ
ɸʛʂʨ ʏɲʈ ʎʗʇʖɼ
ʏɲʈ ʎʗʇʖɼ ʈʃʀ
ʎʗʇʖɼ ʈʃʀ ʘʣɬʁ
ʈʃʀ ʘʣɬʁ ʎɻʌʟ
ʘʣɬʁ ʎɻʌʟ ʨʗʝʅ
ʎɻʌʟ ʨʗʝʅ ʂʤʚʗɱ
ʨʗʝʅ ʂʤʚʗɱ ʕɺʉʛ
ʂʤʚʗɱ ʕɺʉʛ ʨʒɶʋʓ
ʕɺʉʛ ʨʒɶʋʓ ʍʁɳʕ
ʨʒɶʋʓ ʍʁɳʕ ʃʣʘ
ʍʁɳʕ ʃʣʘ ʟʐʆɬ
ʃʣʘ ʟʐʆɬ ʈʒʆʦʉ
ʟʐʆɬ ʈʒʆʦʉ ʞʢɿ
ʈʒʆʦʉ ʞʢɿ ʕʐʞʀ
ʞʢɿ ʕʐʞʀ ʐʉɯʊ
ʕʐʞʀ ʐʉɯʊ ʖɨɾʖ
ʐʉɯʊ ʖɨɾʖ ʠʘʧʛɿ
ʖɨɾʖ ʠʘʧʛɿ ʃʂʅʚʨ
ʠʘʧʛɿ ʃʂʅʚʨ ʌʔʜʞ
ʃʂʅʚʨ ʌʔʜʞ ʌʌʑʨɷ
ʌʔʜʞ ʌʌʑʨɷ ʑʢʨ
ʌʌʑʨɷ ʑʢʨ ʅɼʓʓʓ
ʑʢʨ ʅɼʓʓʓ ʒɷʈʝ
ʅɼʓʓʓ ʒɷʈʝ ʎʇʒ
ʒɷʈʝ ʎʇʒ ʀʑɣɿɪ
ʎʇʒ ʀʑɣɿɪ ʋʠʞʢɯ
ʀʑɣɿɪ ʋʠʞʢɯ ʄɵʖʌʗ
ʋʠʞʢɯ ʄɵʖʌʗ ʢɹʢʐʠ
ʄɵʖʌʗ ʢɹʢʐʠ ʅɾʏɻʃ
ʢɹʢʐʠ ʅɾʏɻʃ ʝʘʤʨ
ʅɾʏɻʃ ʝʘʤʨ ɿɲʘʦ
ʝʘʤʨ ɿɲʘʦ ʗɸʂʂ
ɿɲʘʦ ʗɸʂʂ ʆʦʙʙʈ
ʗɸʂʂ ʆʦʙʙʈ ʍʢʡʕ
ʆʦʙʙʈ ʍʢʡʕ ʍʟʘʍʏ
ʍʢʡʕ ʍʟʘʍʏ ɺʋʕʨ
ʍʟʘʍʏ ɺʋʕʨ ʙʖɻʦ
ɺʋʕʨ ʙʖɻʦ ʙʛʢʅʍ
ʙʖɻʦ ʙʛʢʅʍ ʅɽʣʊʔ
ʙʛʢʅʍ ʅɽʣʊʔ ʄʚʟʢʡ
ʅɽʣʊʔ ʄʚʟʢʡ ɳɧʣʇ
ʄʚʟʢʡ ɳɧʣʇ ʨʐɪʝ
ɳɧʣʇ ʨʐɪʝ ʎʉʉ
ʨʐɪʝ ʎʉʉ ɰʐʔ
ʎʉʉ ɰʐʔ ʛʕʗɽʓ
ɰʐʔ ʛʕʗɽʓ ʞʨʧʇɷ
ʛʕʗɽʓ ʞʨʧʇɷ ʌʁɺʁʨ
ʞʨʧʇɷ ʌʁɺʁʨ ɾʍʓʌʢ
ʌʁɺʁʨ ɾʍʓʌʢ ɹɪʑʞɸ
ɾʍʓʌʢ ɹɪʑʞɸ ʧʇʛ
ɹɪʑʞɸ ʧʇʛ ɱʤʦʍʖ
ʧʇʛ ɱʤʦʍʖ ʝʂʌʢʕ
ɱʤʦʍʖ ʝʂʌʢʕ ʤʔʛɬ
ʝʂʌʢʕ ʤʔʛɬ ʌʇʔʑ
ʤʔʛɬ ʌʇʔʑ ɾɽʓ
ʌʇʔʑ ɾɽʓ ʄʛɶʏʛ
ɾɽʓ ʄʛɶʏʛ ʅʌʤ
ʄʛɶʏʛ ʅʌʤ ʨʓʛʎɵ
ʅʌʤ ʨʓʛʎɵ ʡɽʡʖʤ
ʨʓʛʎɵ ʡɽʡʖʤ ʡɽɣ
ʡɽʡʖʤ ʡɽɣ ɯʞʦɲ
ʡɽɣ ɯʞʦɲ ɟʚʚ
ɯʞʦɲ ɟʚʚ ʡʜɶɶʦ
ɟʚʚ ʡʜɶɶʦ ʝʈʓ
ʡʜɶɶʦ ʝʈʓ ʄʇɲɲ
ʝʈʓ ʄʇɲɲ ɠʠɭ
ʄʇɲɲ ɠʠɭ ɷʑʡɥ
ɠʠɭ ɷʑʡɥ ʙʥʌʡɼ
ɷʑʡɥ ʙʥʌʡɼ ʈʊɻ
ʙʥʌʡɼ ʈʊɻ ʃʤʕʕʢ
ʈʊɻ ʃʤʕʕʢ ʎʣʠ
ʃʤʕʕʢ ʎʣʠ ʌʜʥʈʃ
ʎʣʠ ʌʜʥʈʃ ɺʞʚ
ʌʜʥʈʃ ɺʞʚ ʥʡʋʁ
ɺʞʚ ʥʡʋʁ ʡʐɤʟɻ
ʥʡʋʁ ʡʐɤʟɻ ʞʝɠ
ʡʐɤʟɻ ʞʝɠ ʊʢʓ
ʞʝɠ ʊʢʓ ʟʂʧʏʃ
ʊʢʓ ʟʂʧʏʃ ɿʈʦɻʝ
ʟʂʧʏʃ ɿʈʦɻʝ ʢɳʨ
ɿʈʦɻʝ ʢɳʨ ʚʟɥʔʧ
ʢɳʨ ʚʟɥʔʧ ɴʍʡʀ
ʚʟɥʔʧ ɴʍʡʀ ɳʧʒ
ɴʍʡʀ ɳʧʒ ʝɼʊ
ɳʧʒ ʝɼʊ ʛʛʞʣʛ
ʝɼʊ ʛʛʞʣʛ ʎɾʜʞ
ʛʛʞʣʛ ʎɾʜʞ ɳʎɹ
ʎɾʜʞ ɳʎɹ ʓɹʃ
ɳʎɹ ʓɹʃ ɰʑɿ
ʓɹʃ ɰʑɿ ɾʟʂɻ
ɰʑɿ ɾʟʂɻ ʐɳʥ
ɾʟʂɻ ʐɳʥ ʤʇɾʄ
ʐɳʥ ʤʇɾʄ ʎʤʀ
ʤʇɾʄ ʎʤʀ ʘʎɷʘʐ
ʎʤʀ ʘʎɷʘʐ ʐʣʆʠʡ
ʘʎɷʘʐ ʐʣʆʠʡ ʓʐʒʃ
ʐʣʆʠʡ ʓʐʒʃ ʖɾʧ
ʓʐʒʃ ʖɾʧ ɺʢɭɿʈ
ʖɾʧ ɺʢɭɿʈ ʏɺʘʢ
ɺʢɭɿʈ ʏɺʘʢ ɿʢɶ
ʏɺʘʢ ɿʢɶ ʣʗʎʔʇ
ɿʢɶ ʣʗʎʔʇ ʓʡʣʖ
ʣʗʎʔʇ ʓʡʣʖ ʧʍʐʐɺ
ʓʡʣʖ ʧʍʐʐɺ ʟʑɡʢ
ʧʍʐʐɺ ʟʑɡʢ ʋʃʍʤ
ʟʑɡʢ ʋʃʍʤ ʚʆʏɶ
ʋʃʍʤ ʚʆʏɶ ʐʔʃʕʇ
ʚʆʏɶ ʐʔʃʕʇ ʐʐʦ
ʐʔʃʕʇ ʐʐʦ ʛɟɽʧ
ʐʐʦ ʛɟɽʧ ʙɬɮ
ʛɟɽʧ ʙɬɮ ʓʠʟ
ʙɬɮ ʓʠʟ ʈʤʔɿ
ʓʠʟ ʈʤʔɿ ɮʠʛ
ʈʤʔɿ ɮʠʛ ɦɻʣ
ɮʠʛ ɦɻʣ ʢʃʑ
ɦɻʣ ʢʃʑ ɵʢʒʁʔ
ʢʃʑ ɵʢʒʁʔ ʕɼɼʝ
ɵʢʒʁʔ ʕɼɼʝ ʘʈɭɶ
ʕɼɼʝ ʘʈɭɶ ʀʊʚʄʖ
ʘʈɭɶ ʀʊʚʄʖ ɸɶʧɸ
ʀʊʚʄʖ ɸɶʧɸ ʋʌʨʌɻ
ɸɶʧɸ ʋʌʨʌɻ ʦʢɳɼʊ
ʋʌʨʌɻ ʦʢɳɼʊ ʘɭɱʟɱ
ʦʢɳɼʊ ʘɭɱʟɱ ʡʔʞ
ʘɭɱʟɱ ʡʔʞ ʨʟɼʧʢ
ʡʔʞ ʨʟɼʧʢ ʨɶɵʘʖ
ʨʟɼʧʢ ʨɶɵʘʖ ɹʢʈ
ʨɶɵʘʖ ɹʢʈ ʇʄʍɸʝ
ɹʢʈ ʇʄʍɸʝ ʧʏʟʙ
ʇʄʍɸʝ ʧʏʟʙ ʠɼʊʏʒ
ʧʏʟʙ ʠɼʊʏʒ ʙʐʛ
ʠɼʊʏʒ ʙʐʛ ʖʚʇʂʏ
ʙʐʛ ʖʚʇʂʏ ʀʧʈʓɫ
ʖʚʇʂʏ ʀʧʈʓɫ ʗʜɼ
ʀʧʈʓɫ ʗʜɼ ʨɹʌʢʁ
ʗʜɼ ʨɹʌʢʁ ʋɶɶʥʠ
ʨɹʌʢʁ ʋɶɶʥʠ ʑʖɰ
ʋɶɶʥʠ ʑʖɰ ʤɲʥʟ
ʑʖɰ ʤɲʥʟ ɭʒʑ
ʤɲʥʟ ɭʒʑ ɺɽʨʋ
ɭʒʑ ɺɽʨʋ ʉʐʚ
ɺɽʨʋ ʉʐʚ ʘʃɟʕ
ʉʐʚ ʘʃɟʕ ʟɽʝ
ʘʃɟʕ ʟɽʝ ʕʚʁ
ʟɽʝ ʕʚʁ ɿʟʢʡ
ʕʚʁ ɿʟʢʡ ɩʉʁʤ
ɿʟʢʡ ɩʉʁʤ ɯʜɻʡʟ
ɩʉʁʤ ɯʜɻʡʟ ʍʝʆ
ɯʜɻʡʟ ʍʝʆ ɵɳʗʟɩ
ʍʝʆ ɵɳʗʟɩ ɨɺʍʖ
ɵɳʗʟɩ ɨɺʍʖ ʉʑʨ
ɨɺʍʖ ʉʑʨ ʠʖʥ
ʉʑʨ ʠʖʥ ʌʀʆ
ʠʖʥ ʌʀʆ ʊʍʘʨ
ʌʀʆ ʊʍʘʨ ʘʇʚ
ʊʍʘʨ ʘʇʚ ɲʣɹʖʝ
ʘʇʚ ɲʣɹʖʝ ʃʢʥ
ɲʣɹʖʝ ʃʢʥ ʠʃʓʖɽ
ʃʢʥ ʠʃʓʖɽ ɮʖʟɹ
ʠʃʓʖɽ ɮʖʟɹ ʑʐʏʉɷ
ɮʖʟɹ ʑʐʏʉɷ ʓʘʙɪ
ʑʐʏʉɷ ʓʘʙɪ ʍɼɳɯ
ʓʘʙɪ ʍɼɳɯ ɷʃɿ
ʍɼɳɯ ɷʃɿ ʟʆʉ
ɷʃɿ ʟʆʉ ɾɪʠɷ
ʟʆʉ ɾɪʠɷ ʀʏɼʚʞ
ɾɪʠɷ ʀʏɼʚʞ ʀʥʣʥ
ʀʏɼʚʞ ʀʥʣʥ ʟʟʋɠ
ʀʥʣʥ ʟʟʋɠ ʖʜɹɴ
ʟʟʋɠ ʖʜɹɴ ʨʞʙ
ʖʜɹɴ ʨʞʙ ʒʌʃ
ʨʞʙ ʒʌʃ ʘʋʐʕʚ
ʒʌʃ ʘʋʐʕʚ ɻʗɪʑʢ
ʘʋʐʕʚ ɻʗɪʑʢ ʗʣʍʙ
ɻʗɪʑʢ ʗʣʍʙ ʠɮɷ
ʗʣʍʙ ʠɮɷ ʀʨɶʓ
ʠɮɷ ʀʨɶʓ ʛɿʅʠ
ʀʨɶʓ ʛɿʅʠ ɹʞʃ
ʛɿʅʠ ɹʞʃ ʑʕʈʟʜ
ɹʞʃ ʑʕʈʟʜ ʐʛʟ
ʑʕʈʟʜ ʐʛʟ ʝʞʏʘʜ
ʐʛʟ ʝʞʏʘʜ ʃɴʧʔʧ
ʝʞʏʘʜ ʃɴʧʔʧ ɨɷʨ
ʃɴʧʔʧ ɨɷʨ ʁʐʧɬ
ɨɷʨ ʁʐʧɬ ʣʞʍ
ʁʐʧɬ ʣʞʍ ɱʠʃʧ
ʣʞʍ ɱʠʃʧ ɴʚʌ
ɱʠʃʧ ɴʚʌ ʜʟʄʑʓ
ɴʚʌ ʜʟʄʑʓ ʟʡɨʎʋ
ʜʟʄʑʓ ʟʡɨʎʋ ʧɮʟɧɽ
ʟʡɨʎʋ ʧɮʟɧɽ ʧʤʂ
ʧɮʟɧɽ ʧʤʂ ʍʈʤʁɷ
ʧʤʂ ʍʈʤʁɷ ʣʜʃ
ʍʈʤʁɷ ʣʜʃ ʧɽʜʖ
ʣʜʃ ʧɽʜʖ ʤʟʍʊʡ
ʧɽʜʖ ʤʟʍʊʡ ʒʢɯʠ
ʤʟʍʊʡ ʒʢɯʠ ʆɷʨ
ʒʢɯʠ ʆɷʨ ɰɫɺʍ
ʆɷʨ ɰɫɺʍ ʅʓʠɱʞ
ɰɫɺʍ ʅʓʠɱʞ ʢʀʗ
ʅʓʠɱʞ ʢʀʗ ɨʘʍɿʥ
ʢʀʗ ɨʘʍɿʥ ʌʥʄʟ
ɨʘʍɿʥ ʌʥʄʟ ʍɼɼ
ʌʥʄʟ ʍɼɼ ɫʨʙɰʔ
ʍɼɼ ɫʨʙɰʔ ʔʁʍ
ɫʨʙɰʔ ʔʁʍ ʨʈʢʌʠ
ʔʁʍ ʨʈʢʌʠ ʧʋʣ
ʨʈʢʌʠ ʧʋʣ ɫʄʢ
ʧʋʣ ɫʄʢ ɾʉɭʘʍ
